name,sum,coords(lat-long)
ΚΑΡΠΕΝΗΣΙΟΥ,7,"[[38.907573631752605, 21.845015287399296], [38.83273776092523, 21.74221158027649], [38.896644273524686, 21.8084728717804], [38.91363456731042, 21.783603429794315], [38.9041703, 21.788328], [38.9, 21.7717], [38.9075702, 21.8184171]]"
ΕΔΕΣΣΑΣ,3,"[[40.78115073328378, 22.0611584186554], [40.866809, 21.839163], [40.8519756, 21.8481334]]"
ΔΡΑΜΑΣ,8,"[[41.15033631295082, 24.14505243301392], [41.14376803437928, 24.14963364601136], [41.136132492585766, 24.07202124595642], [41.13974385676908, 24.17822063915776], [41.1513149, 24.1332264], [41.1343371, 24.1925077], [41.134337, 24.192508], [41.1247104, 24.2014555]]"
ΠΑΤΡΕΩΝ,27,"[[38.19880738544524, 21.70231103897095], [38.21159679876146, 21.727416515350345], [38.20921107342443, 21.74220085144043], [38.21230491419949, 21.725893020629883], [38.27730414162464, 21.763347387313846], [38.24229233396312, 21.734197139739997], [38.26476214917841, 21.752221584320072], [38.23789360440714, 21.72597885131836], [38.20367217988251, 21.71400547027588], [38.2466395, 21.734574], [38.24720689999999, 21.7338543], [38.2561149, 21.746289], [38.2731467, 21.7516996], [38.233503, 21.725024], [38.274878, 21.76176], [38.275089, 21.761481], [38.292524434229, 21.784065411451], [38.232618, 21.747264], [38.2513144, 21.7369116], [38.260109, 21.7492755], [38.251314, 21.736912], [38.251518, 21.736962], [38.251381, 21.744365], [38.32506, 21.86655], [38.32441, 21.87124], [38.2164283, 21.7190751], [38.2796382, 21.7655984]]"
ΚΑΛΛΙΘΕΑΣ,7,"[[37.95481512207352, 23.714160919189453], [37.945475080618536, 23.702777624130253], [37.96179399737314, 23.712723255157474], [37.956094, 23.715287], [37.956554, 23.71253], [37.961644, 23.712162], [37.9529907, 23.7052638]]"
ΛΑΜΙΕΩΝ,11,"[[38.90035159350444, 22.446570396423343], [38.87589975098523, 22.45401620864868], [38.88457744402236, 22.452063560485843], [38.89487404346211, 22.451741695404053], [38.92566307294953, 22.406530380249027], [38.893628, 22.445586], [38.8747285675456, 22.45599064975977], [38.8886245, 22.4226683], [38.925967, 22.42043], [38.8982874, 22.4391347], [38.8883672, 22.4306132]]"
ΚΑΣΣΑΝΔΡΑΣ,11,"[[40.07184844778361, 23.33702087402344], [40.04164496662872, 23.482686281204227], [40.103158616229, 23.309875267709], [39.937204729225, 23.568951544941], [39.9334697, 23.5677701], [40.06053, 23.431096], [39.961849, 23.675385], [40.009968, 23.548539], [40.0398996, 23.4801836], [40.054059, 23.420169], [40.0356063, 23.3608325]]"
ΩΡΩΠΟΥ,7,"[[38.25621988844517, 23.684924840927124], [38.3046181, 23.7534513], [38.3252757, 23.7571693], [38.2059455, 23.8648511], [38.21305, 23.855], [38.2806644, 23.7944248], [38.2074647, 23.8689608]]"
ΙΩΑΝΝΙΤΩΝ,19,"[[39.58797180756998, 20.861513614654545], [39.6230198762631, 20.860333442687992], [39.680471860261854, 20.839562416076664], [39.658041943725856, 20.845484733581547], [39.68475716064255, 20.833328962326053], [39.69039617765903, 20.865933895111084], [39.684975654243, 20.833562413349], [39.664542, 20.84143], [39.658602418935, 20.845669192939], [39.6400153, 20.8629494], [39.624282, 20.8511402], [39.5940482, 20.8617697], [39.6434391, 20.8503922], [39.6840705, 20.8199672], [39.6526042, 20.8588516], [39.649794, 20.847017], [39.642994, 20.851206], [39.670289, 20.8550273], [39.6309446, 20.8637319]]"
ΩΡΑΙΟΚΑΣΤΡΟΥ,3,"[[40.70129279525961, 22.90919780731201], [40.706677, 22.934257], [40.71035, 22.9558118]]"
ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ,5,"[[37.86970415551112, 24.027582406997684], [37.88435482534936, 24.01031970977784], [37.8878484, 23.9435865], [37.8813996, 23.9268459], [37.8610001, 23.9317544]]"
ΜΟΝΕΜΒΑΣΙΑΣ,2,"[[36.686875829137314, 23.032815456390384], [36.6874833, 23.0434425]]"
ΘΕΡΜΗΣ,14,"[[40.566551539480976, 22.998890876770023], [40.52656300731263, 22.994019985198975], [40.5296047680932, 22.99610137939453], [40.527248027146776, 22.999802827835083], [40.522589401105, 23.000239439438], [40.527408208047, 22.988157697109], [40.523325, 23.011685], [40.48001, 23.156175], [40.480035, 23.156175], [40.4129426, 23.0214049], [40.5631072, 22.9935083], [40.5485201, 23.019646], [40.4731996, 22.9569374], [40.5521599, 23.0004664]]"
ΓΛΥΦΑΔΑΣ,12,"[[37.88501530712817, 23.752119541168216], [37.86964486942519, 23.738976716995243], [37.887512, 23.770299], [37.88752, 23.770288], [37.8752319, 23.7334254], [37.8912989, 23.7618317], [37.875232, 23.733425], [37.86534, 23.74474], [37.87016, 23.73859], [37.8690113, 23.7594362], [37.868134, 23.7601491], [37.8761126, 23.7576582]]"
ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ,8,"[[37.92964336793641, 23.70288491249085], [37.929186389201725, 23.708710670471195], [37.9405952, 23.6970387], [37.93121, 23.6870786], [37.9361719, 23.7009601], [37.930479, 23.709785], [37.935243, 23.701576], [37.9390863, 23.6982474]]"
ΤΡΙΦΥΛΙΑΣ,3,"[[37.25937550642768, 21.67560696601868], [37.25537909589494, 21.66752815246582], [37.2512312, 21.6694441]]"
ΠΕΝΤΕΛΗΣ,2,"[[38.05742649674888, 23.838518857955936], [38.0540662, 23.8388585]]"
ΒΕΡΟΙΑΣ,8,"[[40.5983133693247, 22.15175271034241], [40.521735049930776, 22.21363663673401], [40.5281149, 22.2092228], [40.5481526, 22.1971678], [40.537939, 22.201958], [40.507206, 22.225936], [40.5584953, 22.2610119], [40.510564, 22.2178]]"
ΧΑΛΑΝΔΡΙΟΥ,13,"[[38.01844635852506, 23.80822062492371], [38.02123556813032, 23.81915330886841], [38.02004382792456, 23.79765272140503], [38.0294214, 23.7923668], [38.0294017, 23.7920602], [38.0207978, 23.7933522], [38.02043, 23.79371], [38.0205059, 23.7891798], [38.0300946, 23.8162024], [38.019295, 23.8071327], [38.0111946, 23.7820853], [38.0202913, 23.8147615], [38.01586, 23.7858076]]"
ΚΑΒΑΛΑΣ,6,"[[40.941697285469, 24.3886399269104], [40.95907064819927, 24.516248703002933], [40.922429, 24.384624], [40.9475012, 24.4424274], [40.902233, 24.345384], [40.9356103, 24.4090232]]"
ΠΑΛΛΗΝΗΣ,8,"[[38.00217385344856, 23.905563354492188], [38.02141305969422, 23.847327232360843], [37.997086, 23.868317], [38.003757, 23.886823], [38.00915510000001, 23.8538726], [37.9978229, 23.8937856], [37.9986264, 23.9040293], [38.0236045, 23.8726912]]"
ΜΑΡΑΘΩΝΟΣ,3,"[[38.07913415695746, 23.98047208786011], [38.1598557, 23.9613567], [38.0902935, 23.9756641]]"
ΠΟΛΥΓΥΡΟΥ,2,"[[40.26088580349814, 23.493071794509888], [40.3023916, 23.4208353]]"
ΑΒΔΗΡΩΝ,3,"[[41.10984974027334, 24.92612242698669], [41.104914, 24.930778], [41.10984819999999, 24.9261189]]"
ΞΑΝΘΗΣ,8,"[[41.12314599051931, 24.88075017929077], [41.11925842940659, 24.875546693801883], [41.12299243218266, 24.8806643486023], [41.130815125172, 24.892627775581], [41.1272599, 24.90166], [41.1239906, 24.8820066], [41.123991, 24.882007], [41.1283563, 24.891173]]"
ΠΛΑΤΑΝΙΑ,5,"[[35.52537209500487, 23.844076395034797], [35.52015906967086, 23.86964321136475], [35.341778460741686, 23.90280604362488], [35.517196639638, 23.909412141801], [35.5282071, 23.7603736]]"
ΠΡΕΒΕΖΑΣ,6,"[[38.97112090896128, 20.74824929237366], [38.96301272684521, 20.74896812438965], [39.175432, 20.549196], [39.1751397, 20.5492341], [38.9696919, 20.7488231], [38.9934273, 20.7420464]]"
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,6,"[[40.85201899461618, 25.812174081802368], [40.85502159042724, 25.916157960891724], [40.8457193, 25.873962], [40.854635, 25.917584], [40.892014326682656, 26.17803947096535], [40.854841, 25.8867069]]"
ΔΙΣΤΟΜΟΥ-ΑΡΑΧΟΒΑΣ-ΑΝΤΙΚΥΡΑΣ,5,"[[38.484425424433255, 22.575316429138187], [38.52395372578406, 22.54312992095948], [38.479375, 22.580218], [38.475683, 22.640696], [38.479379, 22.580266]]"
