,arrivals
974,0.0
975,2.0
976,5.0
977,7.0
978,8.0
979,6.0
980,7.0
981,5.0
982,5.0
983,4.0
984,4.0
985,1.0
986,0.0
987,0.0
988,0.0
989,0.0
990,0.0
991,0.0
992,0.0
993,0.0
994,0.0
995,0.0
996,0.0
997,0.0
998,0.0
999,6.0
1000,5.0
1001,3.0
1002,4.0
1003,6.0
1004,5.0
1005,2.0
1006,2.0
1007,4.0
1008,4.0
1009,3.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,0.0
1018,0.0
1019,0.0
1020,0.0
1021,0.0
1022,3.0
1023,7.0
1024,5.0
1025,4.0
1026,4.0
1027,6.0
1028,6.0
1029,3.0
1030,4.0
1031,5.0
1032,5.0
1033,4.0
1034,1.0
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,0.0
1040,0.0
1041,0.0
1042,0.0
1043,0.0
1044,0.0
1045,0.0
1046,2.0
1047,6.0
1048,6.0
1049,5.0
1050,5.0
1051,7.0
1052,6.0
1053,3.0
1054,4.0
1055,5.0
1056,6.0
1057,6.0
1058,1.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.0
1064,0.0
1065,0.0
1066,0.0
1067,0.0
1068,0.0
1069,0.0
1070,1.0
1071,5.0
1072,5.0
1073,5.0
1074,5.0
1075,6.0
1076,6.0
1077,4.0
1078,4.0
1079,5.0
1080,6.0
1081,7.0
1082,2.0
1083,0.0
1084,0.0
1085,0.0
1086,0.0
1087,0.0
1088,0.0
1089,0.0
1090,0.0
1091,0.0
1092,0.0
1093,0.0
1094,1.0
1095,7.0
1096,6.0
1097,5.0
1098,5.0
1099,9.0
1100,6.0
1101,5.0
1102,4.0
1103,7.0
1104,10.0
1105,7.0
1106,2.0
1107,0.0
1108,0.0
1109,0.0
1110,0.0
1111,0.0
1112,0.0
1113,0.0
1114,0.0
1115,0.0
1116,0.0
1117,0.0
1118,0.0
1119,2.0
1120,6.0
1121,8.0
1122,10.0
1123,10.0
1124,10.0
1125,6.0
1126,7.0
1127,5.0
1128,6.0
1129,5.0
1130,2.0
1131,0.0
1132,0.0
1133,0.0
1134,0.0
1135,0.0
